"word","conc","word_len"
"GENIUS",342,6
"GEOGRAPHY",338,9
"GIST",273,4
"GLORY",304,5
"GODDESS",334,7
"GOOD",297,4
"GRACE",314,5
"GRADE",338,5
"GRATITUDE",239,9
"GRAVITY",302,7
"GREED",262,5
"GRIEF",303,5
"GRIEVANCE",295,9
"GRUDGE",313,6
"GUESS",247,5
"GUILT",299,5
"HALT",345,4
"HARDSHIP",327,8
"HARM",244,4
"HASTE",303,5
"HATE",335,4
"HATRED",239,6
"HAVE",251,4
"HAVOC",338,5
"HAZARD",342,6
"HEAVEN",305,6
"HELP",320,4
"HEREDITY",330,8
"HERESY",270,6
"HEROISM",283,7
"HESITATION",257,10
"HIERARCHY",333,9
"HINDRANCE",329,9
"HINT",312,4
"HISTORY",328,7
"HONESTY",278,7
"HONOUR",258,6
"HOPE",261,4
"HORROR",341,6
"HOSTILITY",277,9
"HUMOUR",309,6
"HUZZA",349,5
"HYBRID",344,6
"HYGIENE",349,7
"HYPOTHESIS",261,10
"IDEA",259,4
"IDEAL",253,5
"IGNORANCE",249,9
"ILLITERACY",252,10
"ILLUSION",249,8
"IMMENSITY",262,9
"IMMUNITY",293,8
"IMPATIENCE",257,10
"IMPETUS",278,7
"IMPORT",320,6
"IMPORTANCE",244,10
"IMPOTENCY",328,9
"IMPRESSION",288,10
"IMPULSE",271,7
"IMPUNITY",242,8
"INACTION",297,8
"INANITY",289,7
"INCIDENT",340,8
"INCLEMENCY",298,10
"INCREASE",315,8
"INCREMENT",322,9
"INCURSION",275,9
"INDICATION",282,10
"INDOLENCE",211,9
"INDUCEMENT",288,10
"INFERIOR",311,8
"INFINITY",204,8
"INFLUENCE",280,9
"INHIBITION",262,10
"INITIATION",272,10
"INNOCENCE",247,9
"INSIGHT",270,7
"INSISTENCE",262,10
"INSOLENCE",248,9
"INSTANCE",284,8
"INSTINCT",311,8
"INSURANCE",315,9
"INTEGRITY",247,9
"INTELLECT",254,9
"INTENTION",285,9
"INTEREST",305,8
"INTERIM",310,7
"INTIMATE",281,8
"INTIMATION",311,10
"IOTA",275,4
"IRONY",243,5
"IRRITATION",305,10
"ISSUE",338,5
"JAMB",326,4
"JEALOUSY",250,8
"JEER",338,4
"JEOPARDY",266,8
"JIBE",337,4
"JOIN",292,4
"JOVIALITY",275,9
"JOY",300,3
"JUDGEMENT",260,9
"JUPON",238,5
"JUSTICE",307,7
"KEEP",339,4
"KIND",323,4
"KNOW",274,4
"KNOWLEDGE",278,9
"LACK",311,4
"LAMENT",320,6
"LAST",299,4
"LAUD",294,4
"LAW",349,3
"LEAST",275,5
"LEFT",341,4
"LEGALITY",302,8
"LEVITY",297,6
"LIBERTY",302,7
"LIKE",286,4
"LITTORAL",273,8
"LODE",342,4
"LOQUACITY",326,9
"LOSS",313,4
"LOVE",311,4
"LOYALTY",261,7
"LUCK",275,4
"LUNE",328,4
"LUST",324,4
"LUXURY",346,6
"MAGIC",257,5
"MAGNITUDE",333,9
"MAIN",324,4
"MAJORITY",338,8
"MAKE",299,4
"MALICE",248,6
"MANNER",297,6
"MANY",276,4
"MARVEL",293,6
"MASTERY",279,7
"MATERNITY",341,9
"MEAN",313,4
"MEDIOCRITY",217,10
"MEET",341,4
"MELANCHOLY",329,10
"MEMORY",284,6
"MERCY",239,5
"MERIT",308,5
"METHOD",303,6
"MIEN",283,4
"MIGHT",271,5
"MIMIC",329,5
"MIND",333,4
"MIRACLE",282,7
"MISCHANCE",270,9
"MISCHIEF",325,8
"MISERY",297,6
"MISTER",349,6
"MISUSE",318,6
"MOMENT",301,6
"MONAD",247,5
"MONTH",345,5
"MOOD",234,4
"MORAL",220,5
"MOTIVE",255,6
"MOUSER",347,6
"MUST",297,4
"MYSTERY",256,7
"MYSTIC",345,6
"MYTH",334,4
"NABOB",225,5
"NADIR",279,5
"NECESSITY",273,9
"NEED",314,4
"NEGLECT",282,7
"NEUTER",336,6
"NEUTRALITY",267,10
"NICETY",242,6
"NONE",288,4
"NONSENSE",256,8
"OATH",331,4
"OBEDIENCE",238,9
"OBLIVION",242,8
"OBSESSION",243,9
"OCCASION",346,8
"OMEN",319,4
"ONSLAUGHT",346,9
"OPINION",285,7
"OPPOSITION",316,10
"OPTIMISM",240,8
"ORDER",344,5
"ORIGIN",319,6
"OTHER",275,5
"OUTCOME",318,7
"OUTSET",305,6
"OVERTONE",300,8
"OWNERSHIP",336,9
"PACIFISM",279,8
"PAEAN",281,5
"PANIC",324,5
"PARADISE",326,8
"PARADOX",257,7
"PARDON",307,6
"PARRY",311,5
"PART",339,4
"PASSION",300,7
"PAST",293,4
"PATIENCE",266,8
"PAUSE",306,5
"PEACE",309,5
"PEP",314,3
"PERCEPTION",287,10
"PERDITION",272,9
"PERJURY",323,7
"PERRY",350,5
"PEWIT",294,5
"PHILOLOGY",272,9
"PHILOSOPHY",257,10
"PHRASE",321,6
"PIQUE",329,5
"PITY",303,4
"PLAICE",314,6
"PLEA",308,4
"PLEASURE",302,8
"POMMEL",323,6
"POVERTY",343,7
"PRECAUTION",300,10
"PREFERENCE",219,10
"PREJUDICE",340,9
"PRESENCE",326,8
"PRESTIGE",248,8
"PRETENCE",227,8
"PRIDE",270,5
"PRIMARY",326,7
"PRINCIPLE",245,9
"PRIVATE",350,7
"PRODUCTION",318,10
"PRONOUN",346,7
"PROOF",328,5
"PROPORTION",305,10
"PROSPERITY",301,10
"PROTECTION",308,10
"PROTEST",339,7
"PROTOCOL",264,8
"PROVENDER",326,9
"PROVINCIAL",339,10
"PURL",313,4
"PURPOSE",280,7
"PUT",287,3
"QUALITY",274,7
"QUANTITY",340,8
"QUEST",316,5
"QUICK",343,5
"QUIETUDE",267,8
"QUIRE",233,5
"RARITY",265,6
"RATE",308,4
"RATING",309,6
"REACTION",312,8
"REAL",285,4
"REALITY",296,7
"REALM",303,5
"REASON",332,6
"REBEC",229,5
"REBUS",299,5
"RECALL",319,6
"RECIPROCAL",308,10
"RECREANT",333,8
"REDUCTION",313,9
"REFINEMENT",272,10
"REFLECTION",339,10
"REFRAIN",325,7
"REGRET",260,6
"RELAXATION",285,10
"RELIEF",303,6
"REMITTANCE",338,10
"REMOVAL",346,7
"REPRISAL",282,8
"REPUTATION",232,10
"RESENTMENT",252,10
"RESOLUTION",265,10
"RESPECT",280,7
"RESULT",318,6
"RESUMPTION",262,10
"RETENTION",280,9
"REVENGE",305,7
"RHUMB",285,5
"RIDICULE",310,8
"RIGIDITY",335,8
"RISK",290,4
"ROLE",335,4
"ROMANCE",313,7
"ROTE",295,4
"RULE",286,4
