"word" "conc" "word_len" "freq"
"142" "DEFIANCE" 275 8 8.84246002419529
"143" "DEFINITION" 262 10 11.1459837115328
"144" "DEITY" 305 5 9.9572178749571
"146" "DELIRIUM" 318 8 7.57814547241947
"147" "DEMEANOUR" 257 9 6.64768837356333
"148" "DEMOCRACY" 298 9 10.9340886305877
"149" "DEMON" 302 5 10.0257936769201
"150" "DENIAL" 272 6 9.24280756211368
"151" "DEPRESSION" 303 10 11.2311061727868
"152" "DERIVATION" 242 10 8.76826314537129
"153" "DESPAIR" 279 7 8.92025541490809
"154" "DEVIL" 274 5 10.4843614906133
"155" "DEVOTION" 231 8 9.67029366536842
"156" "DEXTERITY" 280 9 7.46164039220858
"158" "DIFFUSION" 327 9 9.2926574144654
"160" "DIMENSION" 274 9 10.240673819891
"161" "DIRECTION" 336 9 12.0135007328801
"162" "DISCIPLINE" 277 10 10.473279954066
"163" "DISCLOSURE" 299 10 9.11899233251688
"164" "DISCORD" 298 7 7.91571319938212
"165" "DISCOVERY" 332 9 11.3715231779651
"166" "DISCRETION" 222 10 9.14494815320913
"167" "DISCUSSION" 341 10 10.9026293526375
"169" "DISHONESTY" 255 10 7.24779258176785
"170" "DISMISSAL" 300 9 9.64406894535721
"171" "DISPARITY" 270 9 8.46400336290212
"172" "DISPUTE" 350 7 10.9301382818064
"173" "DISQUIET" 270 8 6.42971947803914
"174" "DISTRESS" 282 8 9.54509685181389
"175" "DIVERSITY" 268 9 10.6521403930015
"176" "DIVISION" 332 8 13.4908532493876
"177" "DOGMA" 317 5 8.15190987294091
"178" "DOMINATION" 275 10 9.38647616968305
"179" "DOTAGE" 293 6 3.93182563272433
"180" "DOWN" 339 4 13.4009249845692
"181" "DRAB" 281 4 7.68708015578313
"183" "DUTY" 322 4 11.4619163407288
"186" "EDICT" 349 5 8.94611437556074
"187" "EDUCATION" 320 9 13.3263877158415
"188" "EFFECT" 295 6 12.2500416829123
"191" "ELECTION" 343 8 13.1516483557518
"192" "ELOPEMENT" 320 9 6.38012253689976
"193" "EMANATION" 282 9 6.45833828334479
"194" "EMERGENCE" 346 9 9.85534717720819
"195" "EMERGENCY" 334 9 11.4119552976137
"197" "END" 320 3 13.824797302356
"198" "ENDEAVOUR" 280 9 8.72988228482659
"200" "ENTERPRISE" 331 10 10.9278251884934
"203" "EQUALITY" 342 8 10.4296056481204
"204" "EQUANIMITY" 232 10 6.01859321449623
"206" "ESCAPE" 341 6 11.635877341346
"208" "ESTIMATE" 293 8 10.3684786399583
"209" "ETERNITY" 302 8 8.6704291673151
"210" "ETIQUETTE" 252 9 8.09162741160107
"211" "EVACUATION" 320 10 9.85324633609938
"212" "EVEN" 283 4 13.3836485983753
"213" "EVIDENCE" 340 8 12.3496750300449
"214" "EVOLUTION" 304 9 11.0256210362456
"215" "EXACTITUDE" 250 10 5.30330490805908
"216" "EXCEPTION" 260 9 11.1195272580802
"217" "EXCISE" 271 6 8.4446224985814
"219" "EXCLUSION" 293 9 9.50539519875738
"220" "EXCUSE" 316 6 8.9126079636709
"221" "EXERTION" 324 8 7.12044437239249
"222" "EXPANSION" 325 9 11.7007733898897
"224" "EXPOSURE" 339 8 10.8673105148556
"225" "EXPRESSION" 297 10 11.2658093542651
"226" "EXTENT" 267 6 11.0583226323005
"228" "EXTREME" 265 7 11.1592460300113
"229" "FACILITY" 279 8 11.8887489007365
"230" "FACT" 332 4 12.3864673471304
"231" "FACTOR" 328 6 11.4336333088957
"232" "FAIL" 327 4 10.1765634725985
"234" "FALLACY" 258 7 7.76684053708551
"235" "FALSEHOOD" 260 9 7.05617528410041
"236" "FANE" 284 4 7.35179986905778
"237" "FANTASY" 295 7 11.0566985001838
"238" "FAST" 304 4 11.3786966863715
"240" "FAVOURITE" 313 9 10.5597113789915
"241" "FEAR" 326 4 11.1115818518212
"242" "FEAT" 345 4 9.88297867590459
"243" "FEEL" 324 4 11.3280526564996
"245" "FEINT" 288 5 6.75809450442773
"246" "FERVOUR" 308 7 6.73101810048208
"247" "FETISH" 288 6 7.69757534680234
"248" "FEUDALISM" 332 9 7.56268124672188
"249" "FIGMENT" 304 7 6.23832462503951
"250" "FINE" 328 4 11.8883024307611
"251" "FINISH" 343 6 11.8511818233849
"252" "FLAIR" 335 5 9.03907744253896
"253" "FLOW" 311 4 11.5121351527558
"254" "FOIBLE" 336 6 3.66356164612965
"255" "FOLLY" 304 5 8.4084937744929
"256" "FORCE" 331 5 13.1719703507514
"257" "FORECAST" 308 8 9.224341891612
"258" "FORFEIT" 295 7 8.28928832300032
"259" "FRAUD" 304 5 10.4004677694801
"261" "FRENZY" 303 6 8.15651022607997
"262" "FRIENDSHIP" 335 10 10.7893396952697
"263" "FRIEZE" 324 6 8.59396903021829
"265" "FUNCTION" 343 8 12.0626756041811
"267" "FUTURE" 311 6 12.5949712843298
"268" "GAIETY" 275 6 7.51043055637801
"269" "GAIN" 346 4 11.4793790226495
"270" "GALLANT" 240 7 8.46189187563115
"271" "GENERATION" 320 10 11.7852705244118
"272" "GENIUS" 342 6 9.75591518806899
"273" "GEOGRAPHY" 338 9 10.2082848208435
"274" "GIST" 273 4 7.19443685110033
"275" "GLORY" 304 5 10.2816842334901
"276" "GODDESS" 334 7 10.3889338279627
"278" "GRACE" 314 5 10.9651764870996
"279" "GRADE" 338 5 12.0246826546939
"280" "GRATITUDE" 239 9 8.94481110416553
"285" "GRUDGE" 313 6 8.04494704961772
"288" "HALT" 345 4 9.99149842985884
"289" "HARDSHIP" 327 8 8.69181854157572
"291" "HASTE" 303 5 7.7931743471892
"292" "HATE" 335 4 9.99852496787088
"294" "HAVE" 251 4 15.102984084135
"295" "HAVOC" 338 5 8.67197224520379
"296" "HAZARD" 342 6 9.48425308034196
"297" "HEAVEN" 305 6 10.6156527389318
"298" "HELP" 320 4 12.8340010736477
"299" "HEREDITY" 330 8 7.24708058458576
"302" "HESITATION" 257 10 8.08671792030391
"303" "HIERARCHY" 333 9 9.88522174372924
"304" "HINDRANCE" 329 9 7.58018941794454
"305" "HINT" 312 4 8.62443194208584
"306" "HISTORY" 328 7 13.5147000163905
"307" "HONESTY" 278 7 8.68609172787805
"310" "HORROR" 341 6 10.9476964523249
"311" "HOSTILITY" 277 9 9.24753981296529
"313" "HUZZA" 349 5 2.99573227355399
"314" "HYBRID" 344 6 10.5250581696068
"315" "HYGIENE" 349 7 9.21930011334766
"316" "HYPOTHESIS" 261 10 10.3073179919678
"319" "IGNORANCE" 249 9 8.91139510724569
"320" "ILLITERACY" 252 10 7.63094658089046
"321" "ILLUSION" 249 8 9.43364391049176
"323" "IMMUNITY" 293 8 9.54831148472113
"324" "IMPATIENCE" 257 10 6.69208374250663
"326" "IMPORT" 320 6 9.91955773271362
"327" "IMPORTANCE" 244 10 11.5662387178672
"328" "IMPOTENCY" 328 9 4.71849887129509
"329" "IMPRESSION" 288 10 10.1204520527736
"330" "IMPULSE" 271 7 9.02605689186869
"331" "IMPUNITY" 242 8 7.61134771740362
"332" "INACTION" 297 8 7.53262361878879
"334" "INCIDENT" 340 8 11.5379789880343
"337" "INCREMENT" 322 9 7.56060116276856
"338" "INCURSION" 275 9 8.07930819205196
"339" "INDICATION" 282 10 9.66801835153128
"340" "INDOLENCE" 211 9 5.6937321388027
"341" "INDUCEMENT" 288 10 6.53087762772588
"342" "INFERIOR" 311 8 9.77001330113616
"343" "INFINITY" 204 8 9.38336888185854
"345" "INHIBITION" 262 10 9.05532264970957
"346" "INITIATION" 272 10 9.32794561405045
"348" "INSIGHT" 270 7 9.89009831541711
"349" "INSISTENCE" 262 10 9.05590631866912
"350" "INSOLENCE" 248 9 6.03787091992214
"351" "INSTANCE" 284 8 11.269489916638
"352" "INSTINCT" 311 8 8.49453850085143
"353" "INSURANCE" 315 9 11.3520757298274
"354" "INTEGRITY" 247 9 10.1360268254907
"355" "INTELLECT" 254 9 8.64979915596426
"356" "INTENTION" 285 9 10.8860715151441
"357" "INTEREST" 305 8 12.5715348680012
"358" "INTERIM" 310 7 10.5050127435488
"359" "INTIMATE" 281 8 9.79439786994842
"360" "INTIMATION" 311 10 5.37989735354046
"361" "IOTA" 275 4 7.4599147662411
"363" "IRRITATION" 305 10 8.1886891244442
"364" "ISSUE" 338 5 12.3435580855957
"365" "JAMB" 326 4 5.71373280550937
"366" "JEALOUSY" 250 8 8.90177508860798
"367" "JEER" 338 4 5.07517381523383
"368" "JEOPARDY" 266 8 8.55371796609861
"369" "JIBE" 337 4 5.6021188208797
"370" "JOIN" 292 4 12.0040727337179
"373" "JUDGEMENT" 260 9 9.45344340103
"374" "JUPON" 238 5 2.39789527279837
"375" "JUSTICE" 307 7 12.2975162689212
"376" "KEEP" 339 4 12.0316061567516
"377" "KIND" 323 4 11.7391442828014
"378" "KNOW" 274 4 11.9421982413755
"380" "LACK" 311 4 12.0877732265709
"381" "LAMENT" 320 6 8.28045768658256
"382" "LAST" 299 4 13.5638659323171
"383" "LAUD" 294 4 7.27793857294566
"384" "LAW" 349 3 13.4661374619585
"385" "LEAST" 275 5 12.6800900836567
"386" "LEFT" 341 4 13.6043770959318
"387" "LEGALITY" 302 8 8.51197962436335
"388" "LEVITY" 297 6 5.88887795833288
"389" "LIBERTY" 302 7 10.8591528318843
"390" "LIKE" 286 4 13.6707171288625
"391" "LITTORAL" 273 8 8.30967689598773
"392" "LODE" 342 4 7.5076900778199
"393" "LOQUACITY" 326 9 3.55534806148941
"394" "LOSS" 313 4 12.4071219056913
"395" "LOVE" 311 4 12.9147141664238
"398" "LUNE" 328 4 7.21376830811864
"399" "LUST" 324 4 8.60922527686273
"400" "LUXURY" 346 6 10.2710084657281
"402" "MAGNITUDE" 333 9 10.3898872781403
