,task,rp,soa,list,subj_num
240,cd,25,50,5,28
241,cd,25,50,8,27
242,cd,25,50,7,27
243,cd,25,500,1,8
244,cd,25,500,8,8
245,cd,25,50,3,31
246,cd,25,50,7,28
247,cd,25,500,3,4
248,cd,25,1000,1,7
249,cd,25,50,5,29
250,cd,25,1000,1,8
251,cd,25,50,8,28
252,cd,25,500,3,5
253,cd,25,50,1,26
254,cd,25,1000,8,7
255,cd,25,1000,3,7
256,cd,25,1000,7,8
257,cd,25,500,2,7
258,cd,25,50,4,29
259,cd,25,50,6,28
260,cd,25,50,8,29
261,cd,25,50,1,27
262,cd,25,50,8,30
263,cd,25,1000,8,8
264,cd,25,50,6,29
265,cd,25,500,3,6
266,cd,25,500,3,7
267,cd,25,50,1,28
268,cd,25,50,2,28
269,cd,25,50,1,29
270,cd,25,50,3,32
271,cd,25,50,7,29
272,cd,25,1000,6,8
273,cd,25,1000,2,8
274,cd,25,500,7,8
275,cd,25,500,3,8
276,cd,25,50,8,31
277,cd,25,50,5,30
278,cd,25,500,5,8
279,cd,25,1000,4,7
280,cd,25,500,2,8
281,cd,25,1000,5,8
282,cd,25,50,1,30
283,cd,25,50,4,30
284,cd,25,50,2,29
285,cd,25,50,2,30
286,cd,25,50,7,30
287,cd,25,1000,4,8
288,cd,25,1000,3,8
289,cd,25,50,6,30
